hotel name,location,no of orders,payment amount,item
Sai Hotel,Giddalur,13,10000,23
Grand Palace,Vijayawada,25,18500,42
Blue Moon Inn,Guntur,17,12000,31
Royal Stay,Ongole,30,25000,55
Hotel Sunshine,Nellore,22,16500,38
Green Leaf Inn,Tirupati,14,11000,25
Lake View Hotel,Vizag,28,24000,48
The Comfort Inn,Eluru,16,13000,27
Ocean Breeze,Kakinada,21,17000,36
Royal Orchid,Rajahmundry,26,20000,44
Sai Residency,Tenali,19,15000,32
Paradise Inn,Anantapur,24,19000,41
Hotel Sunrise,Kadapa,18,14500,29
City View Hotel,Kurnool,27,21500,46
Hilltop Stay,Chittoor,20,16000,34
Silver Sands,Nellore,23,17500,39
Comfort Stay,Ongole,15,12000,26
The Royal Inn,Giddalur,29,23500,50
Palm Grove,Tirupati,31,26000,57
Star Residency,Vijayawada,16,12500,28
Sea Shore Inn,Vizag,33,28000,61
Sai Comforts,Kakinada,19,15000,33
Green Park Hotel,Guntur,27,22000,47
Blue Sky Inn,Eluru,18,14000,30
Hotel Royal View,Rajahmundry,25,19500,43
Sunrise Stay,Tenali,14,11000,24
Ocean View Inn,Vizag,30,25000,52
Paradise Lodge,Kadapa,22,17000,37
Royal Comfort,Chittoor,26,21000,45
The Grand Stay,Kurnool,15,12000,26
